Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Berlin,3154.0,2898.0,2614.0,1685.0,430.0,0.9188332276474318,0.8287888395688016,0.5342422320862397,0.1363348129359543,14.0,0.193,7.0,-0.181,10.5,9.8,244.2,,11.0,468.6,14.0,0.107,7.0,196.1,42.0,3.5,3.5,55.7,1756.0,5.9,3063.0,50.5,2.32,71.0,10.9,0.0,133.5,7.0,13.4,26.9,5.0,2.54,21.8,20.8,13.1,39009.0,0.01,1.4,20.9,10.0,46.2,89.4,7.9,0.163,34.9,35.6,228.0,38.2,7.4,1.12,0.004,3.0,148.0,0.081,16384.0,10.0,74.2,31.8,-0.067,45.3,41.7,7.1,0.859,7.3,5583.0,5554.0,92.7,,0.3,421.0,7.0,3.4,2103.0,0.68,18.8,2265.0,Healey
Blackstone,9203.0,6256.0,5552.0,2175.0,328.0,0.679778333152233,0.603281538628708,0.2363359773986743,0.035640551993915,0.0,0.258,0.0,-0.172,5.5,11.3,189.5,21.0,10.4,474.4,,0.1,3.3,67.7,50.0,2.2,1.1,48.8,871.0,4.8,1658.0,51.8,5.84,97.0,5.1,1.1,81.9,8.9,5.4,34.3,5.8,2.64,22.7,11.3,6.9,25029.0,0.04,0.1,14.4,11.0,41.6,68.7,,0.531,38.3,40.8,120.0,20.9,7.3,0.82,0.003,17.0,138.0,0.19,,3.0,78.7,26.5,,36.1,7.7,6.0,0.975,8.4,4081.0,4210.0,91.6,,,361.0,1.1,16.4,6273.0,0.87,26.9,5135.0,Diehl
Bolton,5661.0,5410.0,4918.0,3337.0,880.0,0.955661543896838,0.8687511040452217,0.5894718247659424,0.1554495672142731,34.7,0.082,10.2,-0.114,0.0,8.2,134.8,,9.3,458.4,,0.058,6.1,173.2,74.0,8.2,8.2,61.8,2371.0,2.0,3837.0,50.5,0.65,25.0,4.6,0.0,82.2,6.1,4.6,9.8,6.3,2.93,12.1,33.4,2.8,63258.0,-0.04,0.0,10.2,14.0,42.9,104.2,,0.32,27.8,24.0,180.0,30.4,4.7,4.12,0.004,58.0,95.0,0.167,,16.0,91.9,24.9,,40.6,30.5,3.2,0.977,6.5,9021.0,9257.0,93.5,,,375.0,24.5,20.2,3519.0,1.24,20.0,3762.0,Healey
Boylston,4845.0,4365.0,3978.0,2643.0,661.0,0.9009287925696594,0.8210526315789474,0.5455108359133127,0.1364293085655314,25.3,0.149,6.9,-0.137,4.6,7.1,195.2,43.5,8.9,490.7,17.4,0.082,4.6,77.8,40.0,2.3,11.5,58.8,1588.0,3.4,2689.0,52.0,2.4,65.0,12.2,0.0,85.1,4.6,13.7,19.3,7.3,2.56,22.8,21.4,8.5,45587.0,-0.05,0.0,13.8,14.0,44.2,82.1,8.3,-0.009,25.9,27.7,212.0,29.7,7.9,1.56,0.004,42.0,,0.197,13409.0,12.0,89.4,30.8,-0.003,40.1,50.3,6.3,0.862,17.2,5710.0,5764.0,82.8,72001.0,0.35,375.0,4.6,,3162.0,0.6,19.4,3304.0,Healey
Brookfield,3435.0,2563.0,2349.0,1369.0,350.0,0.7461426491994178,0.6838427947598253,0.3985443959243085,0.1018922852983988,14.7,0.102,0.0,-0.184,5.9,11.5,469.0,,10.1,442.8,18.2,0.014,11.8,49.3,36.0,,2.9,61.9,1230.0,4.7,1983.0,50.5,0.88,17.0,9.0,2.9,140.3,8.8,27.0,27.0,7.4,2.46,25.7,11.2,6.8,23237.0,-0.17,0.3,17.7,27.0,43.9,83.9,7.7,0.315,43.1,37.1,96.0,11.7,4.8,1.16,0.003,3.0,,0.084,11386.0,4.0,93.2,26.0,0.078,45.6,150.0,26.3,0.961,12.5,3533.0,3562.0,87.5,73645.0,0.26,442.0,2.9,,2261.0,0.7,20.2,2054.0,Diehl
Charlton,13312.0,10525.0,9647.0,5717.0,1396.0,0.7906400240384616,0.7246844951923077,0.4294621394230769,0.1048677884615384,19.3,0.06,0.8,-0.142,3.1,8.9,460.7,,9.6,432.4,,0.019,4.6,159.3,30.0,0.8,7.7,53.9,834.0,6.0,1548.0,50.9,6.63,103.0,9.0,1.5,112.5,3.1,13.3,11.6,5.5,2.78,16.9,16.3,3.7,31079.0,-0.01,0.7,10.0,25.0,39.5,98.8,,0.23,35.1,45.8,155.0,16.8,10.0,3.14,0.003,14.0,132.0,0.166,,7.0,86.2,25.0,,40.6,57.6,4.8,0.94,16.3,3044.0,3140.0,83.7,,,374.0,3.1,14.5,9514.0,1.12,19.5,8122.0,Diehl
Clinton,15424.0,12459.0,11143.0,6064.0,1237.0,0.8077671161825726,0.7224455394190872,0.3931535269709543,0.0801996887966805,8.8,0.418,0.7,-0.138,18.4,14.3,119.1,,9.8,449.4,18.2,0.19,2.2,28.2,37.0,2.2,6.6,50.9,1279.0,3.2,2407.0,51.1,4.61,111.0,17.1,3.7,69.7,6.6,8.4,47.7,9.2,2.32,33.4,13.1,8.3,24514.0,0.05,1.4,20.6,9.0,38.4,58.7,28.9,0.025,20.7,29.2,178.0,19.7,7.4,0.11,0.003,51.0,44.0,0.11,11273.0,7.0,84.6,17.8,-0.064,34.1,27.1,38.1,0.947,15.6,3274.0,3360.0,84.4,72778.0,0.28,293.0,1.5,6.5,9363.0,0.24,33.3,7826.0,Healey
Douglas,8979.0,6819.0,6127.0,3227.0,669.0,0.7594386902773137,0.6823699743846754,0.3593941418866243,0.0745071834279986,11.8,0.094,1.2,-0.135,14.2,12.2,527.7,30.6,9.9,430.8,20.9,0.034,4.7,71.5,25.0,3.5,1.2,53.5,1474.0,6.5,2755.0,50.2,0.98,27.0,16.9,0.0,116.4,3.5,18.4,24.3,4.9,2.82,16.9,13.5,2.8,30346.0,-0.02,0.6,11.8,14.0,39.3,103.0,5.4,0.439,41.8,36.7,174.0,23.5,6.3,2.23,0.003,5.0,59.0,0.275,10070.0,9.0,93.8,31.3,-0.058,32.8,81.2,38.3,0.945,8.5,3664.0,4138.0,91.5,59762.0,0.42,402.0,4.7,12.8,6194.0,1.8,18.7,5534.0,Diehl
Dudley,11916.0,8118.0,7403.0,4058.0,782.0,0.6812688821752266,0.6212655253440752,0.3405505203088285,0.0656260490097348,11.4,0.129,0.0,-0.189,2.6,8.8,296.8,32.4,9.4,427.0,,0.026,2.6,71.6,17.0,0.9,1.8,52.2,585.0,3.5,1121.0,49.9,4.05,45.0,10.8,2.6,86.1,2.6,7.4,26.2,3.4,2.6,22.8,12.1,7.9,23751.0,-0.05,0.4,17.6,11.0,35.8,76.4,,0.237,29.8,35.7,109.0,14.0,9.7,1.16,0.003,8.0,64.0,0.143,,6.0,92.0,17.8,,38.2,40.3,9.7,0.955,10.8,2283.0,2349.0,89.2,,,339.0,4.4,33.8,7145.0,0.58,26.5,6092.0,Diehl
East Brookfield,2219.0,1756.0,1600.0,935.0,205.0,0.7913474538080216,0.7210455159981974,0.4213609734114465,0.092383956737269,18.3,0.069,0.0,-0.135,9.2,10.5,797.1,59.4,9.6,443.4,,0.002,18.3,89.8,41.0,,0.0,46.9,863.0,9.6,1839.0,49.3,3.19,59.0,6.7,9.2,148.4,0.0,33.4,32.4,6.4,2.64,18.7,,11.4,26397.0,-0.11,0.9,32.1,23.0,41.1,78.4,,0.056,34.4,41.1,141.0,18.2,7.7,0.76,0.003,1.0,167.0,0.153,,7.0,90.9,24.3,,44.5,219.2,7.4,0.954,9.0,3223.0,3294.0,91.0,,,431.0,0.0,13.6,1479.0,0.46,19.9,1365.0,Diehl
Fitchburg,41941.0,31062.0,27006.0,13825.0,2851.0,0.7406118118309053,0.6439045325576405,0.3296297179371021,0.0679764430986385,6.9,0.368,0.7,-0.244,16.4,13.5,85.8,114.7,10.4,379.6,20.8,0.088,0.7,127.2,22.0,5.2,12.9,52.6,1146.0,2.7,2026.0,51.4,6.45,131.0,12.0,4.0,44.5,2.0,8.2,47.5,12.9,2.49,29.8,13.9,7.4,16553.0,0.03,2.5,16.4,7.0,34.3,49.3,62.1,0.002,16.1,40.5,144.0,19.7,7.1,-0.06,0.003,40.0,268.0,0.133,12681.0,5.0,78.7,14.9,-0.047,35.9,15.1,43.9,0.918,19.8,2913.0,2981.0,80.2,69317.0,0.3,264.0,0.5,78.2,21905.0,0.23,32.7,16509.0,Healey
Gardner,21282.0,16197.0,14437.0,7889.0,2112.0,0.761065689314914,0.6783666948595057,0.3706888450333615,0.09923879334649,4.9,0.286,0.0,-0.14,14.3,11.5,143.9,116.3,9.7,397.9,19.2,0.081,2.0,149.7,51.0,2.5,31.6,51.8,1020.0,2.8,1892.0,48.8,5.64,107.0,9.5,4.9,64.8,6.4,12.0,42.4,5.6,2.3,32.1,15.3,7.1,18444.0,-0.01,1.3,18.8,10.0,39.2,53.8,21.7,0.106,20.2,23.1,111.0,19.7,5.9,0.03,0.003,25.0,256.0,0.15,11310.0,4.0,82.1,18.5,-0.074,39.6,46.3,40.7,0.908,15.9,2864.0,2996.0,84.1,66028.0,0.28,273.0,3.0,43.0,11809.0,0.26,32.6,9444.0,Healey
Grafton,19661.0,17235.0,15378.0,9983.0,2179.0,0.8766085143176847,0.7821575708254921,0.5077564722038553,0.1108285438177101,26.5,0.276,3.4,-0.124,7.3,12.5,160.4,24.1,9.1,462.3,19.4,0.18,7.3,53.6,40.0,10.1,5.1,57.6,1364.0,3.4,2364.0,51.6,1.05,25.0,12.1,2.3,70.6,4.5,51.7,22.2,5.9,2.56,24.2,21.6,7.2,38535.0,-0.01,0.3,10.7,16.0,35.9,82.7,17.2,-0.01,21.7,27.0,101.0,12.9,4.3,1.15,0.003,111.0,66.0,0.258,10064.0,8.0,90.3,22.9,0.04,32.0,37.6,20.4,,8.8,4771.0,5053.0,91.2,63673.0,0.42,323.0,23.6,12.2,12364.0,0.92,23.2,11453.0,Healey
Hardwick,2662.0,1688.0,1533.0,883.0,188.0,0.6341096919609316,0.5758827948910593,0.3317054845980466,0.0706235912847483,0.0,0.17,3.3,-0.186,3.3,8.4,301.0,40.0,11.2,379.9,,0.007,10.0,46.2,42.0,,3.3,50.9,727.0,3.0,1430.0,49.8,2.74,39.0,7.5,0.0,177.7,6.7,10.1,51.8,2.5,2.54,24.3,15.6,7.8,14251.0,-0.08,0.7,36.8,13.0,45.9,81.9,,0.012,28.4,28.3,115.0,10.0,8.1,0.27,0.003,6.0,182.0,0.194,,4.0,91.6,25.1,,47.0,173.3,9.2,0.975,22.2,2816.0,2939.0,77.8,,,381.0,0.0,36.3,1736.0,0.39,22.5,1529.0,Diehl
Harvard,6846.0,5294.0,4782.0,3455.0,1126.0,0.773298276365761,0.6985100788781771,0.504674262342974,0.1644756061933976,26.1,0.084,10.7,-0.117,1.5,3.2,256.1,30.6,9.7,405.7,19.0,0.051,3.1,110.1,88.0,4.6,13.8,55.2,1775.0,2.0,1562.0,42.0,1.02,16.0,15.0,0.0,62.4,9.2,3.4,18.0,5.9,2.76,16.0,37.8,7.1,58932.0,-0.23,0.2,6.1,18.0,44.7,94.7,15.8,0.073,20.4,21.7,79.0,19.8,5.1,0.64,0.003,113.0,76.0,0.097,13984.0,11.0,95.0,13.7,-0.055,42.7,56.6,13.9,0.948,15.0,8862.0,9125.0,85.0,79461.0,0.23,279.0,9.2,4.5,4287.0,0.56,24.5,4129.0,Healey
Holden,19902.0,17670.0,16242.0,10650.0,2577.0,0.8878504672897196,0.8160988845342176,0.5351220982815798,0.1294844739222188,24.8,0.133,2.3,-0.11,9.8,9.3,175.8,12.1,8.7,461.3,,0.093,2.9,64.6,43.0,7.5,10.4,58.2,1225.0,4.6,2066.0,51.5,2.85,59.0,7.0,4.0,71.0,5.8,1.8,13.3,3.9,2.69,19.4,17.1,7.9,36000.0,-0.04,0.4,9.8,14.0,41.4,80.9,,0.492,22.7,29.6,116.0,15.5,5.6,1.9,0.004,93.0,56.0,0.133,,10.0,93.7,24.2,,48.4,48.3,7.6,0.928,10.2,4401.0,4523.0,89.8,,,326.0,3.5,4.6,12912.0,0.5,21.7,12654.0,Healey
Hopedale,6013.0,5284.0,4768.0,2893.0,704.0,0.8787626808581407,0.7929486113420922,0.4811242308331947,0.117079660735074,30.5,0.274,6.8,-0.143,8.5,10.3,126.9,28.7,9.2,464.4,18.0,0.179,5.1,44.3,50.0,5.1,23.7,51.8,1641.0,3.7,3002.0,51.0,3.19,96.0,13.8,0.0,61.9,3.4,6.0,39.2,4.4,2.66,22.6,16.1,8.7,34877.0,0.04,0.2,10.2,10.0,42.0,69.2,7.9,0.151,20.6,23.2,174.0,21.9,5.8,0.7,0.004,2.0,85.0,0.048,10448.0,10.0,88.1,22.3,-0.048,51.5,13.5,35.7,0.961,9.5,4505.0,4583.0,90.5,64378.0,0.39,349.0,3.4,28.4,3951.0,0.58,21.3,3775.0,Healey
Hubbardston,4323.0,3348.0,3078.0,1893.0,509.0,0.7744621790423317,0.7120055517002082,0.4378903539208882,0.1177423085820032,13.7,0.113,0.0,-0.201,0.0,5.0,337.7,50.0,10.1,429.5,,0.054,9.1,19.6,,,0.0,,,8.0,,50.0,,,,0.0,147.8,6.8,39.9,19.6,4.8,2.8,16.6,20.5,6.0,29225.0,0.02,0.5,13.7,11.0,42.4,110.4,,0.032,36.3,32.6,,15.9,,2.86,0.003,6.0,119.0,0.145,,5.0,93.3,36.5,,36.5,161.5,5.6,0.932,8.9,2999.0,3136.0,91.1,,,420.0,9.1,24.8,3179.0,2.0,17.3,2927.0,Diehl
Lancaster,8434.0,5874.0,5297.0,3302.0,783.0,0.6964666824756937,0.6280531183305668,0.391510552525492,0.0928385107896608,16.1,0.114,1.2,-0.157,2.5,7.4,192.4,35.9,9.9,385.1,,0.049,6.2,124.5,36.0,8.7,13.7,61.2,1193.0,2.5,1951.0,43.7,1.43,28.0,5.8,0.0,72.9,12.4,18.7,26.9,8.4,2.66,21.8,22.4,7.3,28363.0,-0.11,0.1,1.2,11.0,38.7,90.8,,0.135,23.0,38.2,110.0,14.8,5.6,1.24,0.003,39.0,102.0,0.084,,9.0,86.3,19.1,,38.2,39.6,5.5,0.972,21.0,5231.0,5156.0,79.0,,,288.0,6.2,11.0,4807.0,0.74,20.0,4354.0,Healey
Leicester,11083.0,8705.0,7980.0,4672.0,964.0,0.7854371560046919,0.7200216547866102,0.421546512677073,0.0869800595506631,8.2,0.11,0.9,-0.151,9.1,8.9,298.1,39.1,10.0,412.1,21.5,0.031,5.5,114.5,15.0,1.8,0.9,60.1,1394.0,5.7,2285.0,51.2,0.85,20.0,13.5,1.8,79.0,0.9,11.0,32.0,7.0,2.64,22.8,14.6,7.9,26176.0,0.03,0.6,15.5,9.0,39.7,73.5,10.8,0.129,27.9,45.3,147.0,,6.4,0.82,0.003,22.0,155.0,0.111,11484.0,6.0,89.2,21.1,-0.085,40.1,231.6,44.8,0.942,10.3,2905.0,2989.0,89.8,69538.0,0.35,359.0,4.6,16.2,7480.0,0.46,29.3,6415.0,Diehl
Leominster,43776.0,35893.0,31281.0,17586.0,3771.0,0.8199241593567251,0.7145696271929824,0.4017269736842105,0.0861430921052631,17.9,0.296,1.5,-0.212,20.6,11.3,112.9,59.4,9.7,459.4,18.5,0.136,1.5,120.5,43.0,6.4,34.8,58.4,1284.0,3.2,2121.0,51.5,7.3,155.0,8.3,2.0,48.9,2.0,13.2,28.5,10.9,2.41,30.0,16.0,7.2,24049.0,0.0,1.3,16.2,16.0,40.0,58.0,40.2,-0.063,19.7,31.6,145.0,20.2,6.8,0.69,0.003,57.0,321.0,0.176,12233.0,6.0,78.0,18.3,-0.008,38.4,19.1,38.7,0.92,11.3,3640.0,3771.0,88.7,62401.0,0.39,297.0,1.5,65.7,26277.0,0.51,28.5,21525.0,Healey
Lunenburg,11778.0,9592.0,8740.0,5406.0,1343.0,0.8143997283070131,0.7420614705382917,0.4589913397860418,0.1140261504499915,14.9,0.113,3.0,-0.17,10.9,7.5,523.5,58.3,10.3,475.2,20.8,0.089,4.0,91.3,38.0,6.9,5.0,56.0,1539.0,5.5,2730.0,50.4,2.61,71.0,10.4,3.0,87.0,1.0,7.8,17.4,5.6,2.63,20.7,17.9,10.2,32825.0,-0.01,0.4,20.8,13.0,42.0,78.7,9.7,0.224,39.6,38.1,137.0,13.8,5.0,1.58,0.004,7.0,222.0,0.101,11448.0,10.0,89.8,25.4,-0.087,42.7,101.8,21.9,0.937,5.2,4174.0,4287.0,94.8,70771.0,0.31,411.0,4.0,26.4,7345.0,0.55,20.0,7192.0,Healey
Mendon,6224.0,5218.0,4721.0,2832.0,634.0,0.8383676092544987,0.7585154241645244,0.455012853470437,0.1018637532133676,15.4,0.06,1.7,-0.124,15.4,7.4,239.8,13.6,9.8,441.0,,0.021,5.1,156.5,40.0,5.1,10.3,55.5,1240.0,5.1,2233.0,49.9,4.68,105.0,7.8,0.0,98.6,5.1,9.3,10.0,5.3,2.88,15.2,20.7,5.6,41995.0,-0.04,0.2,22.3,9.0,42.1,89.6,,0.4,39.6,34.1,196.0,25.5,8.8,2.61,0.004,36.0,76.0,0.143,,12.0,88.9,22.6,,41.7,13.6,2.6,0.911,4.0,5111.0,5260.0,96.0,,,425.0,6.9,8.5,4268.0,1.43,19.4,3944.0,Diehl
Milford,30376.0,27733.0,24071.0,12971.0,2901.0,0.9129905188306556,0.7924348169607585,0.4270147484856466,0.0955030287068738,14.3,0.305,1.8,-0.167,7.9,13.4,104.3,,9.8,473.3,19.0,0.16,1.4,133.5,59.0,7.5,56.8,52.7,1394.0,3.6,2647.0,50.2,4.5,119.0,17.1,4.3,54.9,2.5,7.1,31.8,13.8,2.56,25.4,14.9,7.6,28213.0,-0.02,0.6,21.4,11.0,37.8,64.7,27.8,0.069,18.8,35.3,170.0,19.2,6.4,0.81,0.003,51.0,185.0,0.127,12284.0,8.0,77.3,20.9,-0.006,36.3,2.5,23.7,0.952,6.4,4323.0,4455.0,93.6,63956.0,0.38,328.0,1.8,27.9,17791.0,0.41,30.6,14580.0,Healey
Millbury,13827.0,11627.0,10507.0,6439.0,1497.0,0.8408910103420844,0.7598900701526,0.4656830838215086,0.1082664352354089,8.3,0.199,1.5,-0.205,17.3,9.3,290.3,38.3,9.6,462.4,18.6,0.076,3.8,113.5,32.0,3.8,6.8,55.0,1382.0,5.7,2448.0,51.9,1.94,48.0,18.5,4.5,90.8,2.3,6.0,30.8,5.9,2.48,25.9,13.0,11.5,26919.0,0.0,0.7,21.1,21.0,41.8,65.0,13.6,0.225,29.9,37.6,139.0,15.7,5.7,0.59,0.003,3.0,223.0,0.119,13444.0,6.0,76.8,26.2,-0.064,40.0,48.1,22.3,0.936,9.3,3378.0,3495.0,90.7,73713.0,0.42,352.0,6.0,29.8,9122.0,0.36,28.6,8162.0,Healey
Millville,3170.0,2046.0,1815.0,690.0,106.0,0.6454258675078864,0.5725552050473186,0.2176656151419558,0.0334384858044164,12.5,0.194,0.0,-0.163,0.0,11.6,253.9,18.8,9.9,448.0,,0.087,9.4,44.5,5.0,,0.0,56.3,815.0,6.0,1446.0,50.3,5.61,81.0,3.6,0.0,82.5,9.4,1.6,35.2,3.4,2.91,15.9,15.6,6.0,26721.0,-0.07,0.0,12.5,3.0,39.9,92.1,,0.121,40.8,43.9,123.0,18.7,8.5,0.89,0.003,,130.0,0.109,,5.0,93.2,28.5,,37.9,18.8,8.0,0.96,6.0,3610.0,3809.0,94.0,,,406.0,3.1,3.1,2038.0,1.23,19.8,1848.0,Diehl
New Braintree,990.0,735.0,681.0,429.0,84.0,0.7424242424242424,0.6878787878787879,0.4333333333333333,0.0848484848484848,0.0,0.029,0.0,-0.064,0.0,5.0,360.4,,12.8,404.4,,0.0,10.0,77.1,18.0,,0.0,58.1,1143.0,5.0,1732.0,49.8,2.69,47.0,3.9,0.0,193.6,0.0,12.5,19.0,5.1,2.69,17.6,14.0,8.3,31902.0,0.08,1.0,10.0,10.0,39.7,90.9,,0.176,40.0,40.5,88.0,10.0,5.1,1.09,0.003,1.0,,0.13,,4.0,93.9,47.0,,36.9,219.6,8.0,0.956,19.6,3919.0,4069.0,80.4,,,455.0,10.0,,721.0,0.83,18.8,671.0,Diehl
North Brookfield,4730.0,3391.0,3161.0,1866.0,391.0,0.7169133192389007,0.6682875264270614,0.3945031712473573,0.0826638477801268,4.3,0.151,0.0,-0.154,21.4,9.0,391.0,63.9,10.4,422.0,16.4,0.018,12.8,60.3,23.0,,0.0,49.1,1193.0,8.1,2250.0,50.9,1.04,23.0,20.0,8.5,132.3,6.4,40.2,45.8,6.3,2.51,25.3,12.2,6.0,23491.0,0.03,0.0,17.1,19.0,40.7,69.3,9.3,0.213,36.5,48.3,86.0,,3.8,0.36,0.003,7.0,97.0,0.155,12295.0,6.0,91.9,22.2,-0.109,43.2,151.2,36.5,0.946,11.5,2854.0,3003.0,88.5,61514.0,0.34,370.0,6.4,33.8,3290.0,0.46,20.6,2715.0,Diehl
Northborough,15737.0,15085.0,13483.0,8984.0,2201.0,0.9585689775687868,0.856770667852831,0.5708839041748744,0.1398614729618097,33.9,0.172,3.5,-0.086,9.2,8.5,156.1,21.8,8.7,496.0,18.1,0.122,2.8,116.4,59.0,10.6,17.0,61.9,1992.0,3.5,3066.0,50.9,2.71,83.0,13.0,1.4,50.1,0.0,5.0,11.0,7.2,2.73,19.2,27.3,5.2,47888.0,0.07,0.3,18.4,13.0,40.4,76.7,20.2,0.197,19.4,29.4,147.0,19.0,4.8,3.53,0.003,110.0,126.0,0.07,12636.0,10.0,74.6,23.0,-0.002,41.7,13.4,9.2,0.937,5.2,6114.0,6181.0,94.8,75430.0,0.45,352.0,6.4,11.2,10717.0,0.84,22.2,9687.0,Healey
Northbridge,16331.0,12949.0,11712.0,6656.0,1537.0,0.7929091911089339,0.7171636764435736,0.4075684281427959,0.0941154858857387,16.6,0.286,1.3,-0.142,15.9,11.3,,42.5,9.5,436.9,19.5,0.135,5.7,61.4,7.0,6.4,7.0,41.4,1374.0,3.4,3319.0,51.8,1.34,44.0,13.7,6.4,69.0,3.2,7.3,35.8,4.9,2.62,24.7,16.1,6.7,27666.0,-0.03,0.7,13.4,17.0,38.3,83.7,10.0,0.38,27.8,31.9,133.0,13.9,4.0,0.5,0.003,22.0,282.0,0.053,11129.0,6.0,86.5,20.4,0.027,38.6,28.6,40.4,0.892,9.5,3390.0,3234.0,90.5,63123.0,0.47,324.0,3.2,20.1,10489.0,0.59,21.4,9228.0,Healey
Oakham,1846.0,1495.0,1359.0,848.0,204.0,0.8098591549295775,0.7361863488624052,0.4593716143011918,0.1105092091007584,21.0,0.031,5.3,-0.137,0.0,7.4,536.3,,10.2,454.3,,0.002,15.8,13.1,31.0,,0.0,61.0,903.0,13.1,1447.0,49.8,1.89,27.0,4.6,0.0,234.7,5.3,30.9,18.4,5.6,2.77,15.0,20.0,3.2,28228.0,-0.11,0.0,21.0,26.0,44.2,109.9,,0.429,42.1,24.8,94.0,,6.5,3.18,0.004,4.0,104.0,0.239,,8.0,93.1,40.5,,30.1,403.4,7.3,0.917,10.8,2902.0,3063.0,89.2,,,457.0,0.0,5.2,1365.0,1.0,16.4,1257.0,Diehl
Oxford,13342.0,10394.0,9501.0,5429.0,1157.0,0.7790436216459301,0.7121121271173737,0.4069105081696897,0.0867186328886224,11.7,0.182,1.5,-0.166,16.0,8.6,218.8,33.4,9.4,440.7,18.2,,6.6,127.9,29.0,2.2,0.7,50.3,1191.0,5.1,2350.0,51.0,,,19.0,5.1,86.1,3.6,9.8,22.4,4.0,2.59,25.7,13.4,4.9,25154.0,0.01,0.8,16.8,20.0,40.2,73.5,13.6,0.063,32.1,44.6,132.0,17.4,5.6,1.34,0.004,20.0,157.0,0.121,11955.0,6.0,79.5,22.2,-0.037,35.5,49.4,32.2,0.925,,,3182.0,91.7,60330.0,0.36,344.0,0.7,33.9,8932.0,0.58,26.0,7574.0,Diehl
Paxton,5000.0,4027.0,3622.0,2356.0,543.0,0.8054,0.7244,0.4712,0.1086,25.0,0.031,2.1,-0.167,4.2,7.7,193.5,24.9,9.5,391.0,,0.011,4.2,65.3,43.0,10.4,0.0,51.2,1104.0,3.3,2145.0,50.0,2.19,47.0,5.8,0.0,102.1,2.1,4.9,15.2,3.8,2.78,15.9,20.5,7.7,35191.0,-0.04,0.0,12.5,10.0,43.5,80.4,,-0.012,16.6,30.4,179.0,39.3,8.3,3.51,0.003,5.0,74.0,0.208,,14.0,94.7,17.5,,52.0,114.1,7.6,0.891,13.8,4948.0,5140.0,86.3,,,324.0,6.2,6.2,3161.0,0.24,23.9,2962.0,Healey
Petersham,1190.0,978.0,903.0,604.0,195.0,0.8218487394957983,0.7588235294117647,0.507563025210084,0.1638655462184874,8.1,0.036,24.3,-0.114,8.1,8.1,356.6,,10.6,489.5,16.3,0.0,16.2,48.6,12.0,,0.0,64.2,1726.0,4.1,2499.0,48.9,1.21,30.0,6.2,0.0,187.4,32.4,21.7,46.9,3.7,2.43,23.3,28.9,12.2,25220.0,-0.04,0.8,56.7,16.0,47.9,95.3,10.6,0.607,36.5,22.3,134.0,16.1,5.3,0.52,0.003,29.0,,0.157,13310.0,11.0,89.4,44.6,0.17,40.9,129.2,25.1,0.918,24.6,3662.0,3801.0,75.4,44340.0,0.45,424.0,8.1,,961.0,0.53,22.6,872.0,Healey
