Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
West Bridgewater,7703.0,5969.0,5404.0,3106.0,620.0,0.7748928988705699,0.7015448526548098,0.403219524860444,0.0804881215110995,18.8,0.083,1.4,-0.172,17.4,11.3,212.6,51.8,10.8,447.5,19.7,0.027,8.7,196.6,84.0,11.6,15.9,44.6,1431.0,7.8,3100.0,50.8,7.98,247.0,15.6,0.0,87.9,1.4,8.1,28.8,5.2,2.63,23.3,14.1,12.6,29948.0,-0.04,0.7,30.4,10.0,42.4,72.5,7.6,-0.062,30.8,47.1,284.0,30.2,9.1,0.7,0.005,7.0,214.0,0.146,10952.0,10.0,68.7,40.8,0.043,46.6,10.1,15.2,0.977,8.0,4320.0,4489.0,92.0,50616.0,0.44,424.0,7.2,12.8,5177.0,0.45,22.0,4625.0,Diehl
Whitman,15116.0,11776.0,10725.0,6189.0,1196.0,0.7790420746229161,0.7095130987033607,0.4094337126223868,0.0791214607038899,10.4,0.234,1.4,-0.145,6.2,11.5,108.4,34.3,9.7,405.0,,0.087,2.1,95.0,25.0,4.8,6.2,44.8,759.0,7.6,1693.0,51.2,9.58,162.0,11.6,8.3,55.7,0.7,10.7,36.2,5.1,2.73,23.0,11.9,7.9,25601.0,0.01,0.3,12.4,10.0,37.7,63.8,,0.115,25.4,48.1,181.0,17.8,10.7,0.72,0.006,1.0,129.0,0.186,,8.0,89.8,27.3,,36.1,5.5,7.0,0.969,5.0,3867.0,4054.0,95.0,,,356.0,0.7,29.3,9966.0,0.38,24.8,8629.0,Diehl
Boston,675643.0,607124.0,509087.0,291475.0,52736.0,0.8985869756661432,0.7534851985442016,0.4314038626907997,0.0780530546457226,29.8,0.745,11.2,,12.7,12.7,37.6,55.7,9.3,310.7,17.7,0.399,0.8,45.3,74.0,12.4,170.4,36.3,1334.0,1.5,3515.0,52.1,8.19,288.0,13.0,1.8,9.8,4.3,1.5,56.4,16.8,2.26,37.1,21.7,3.8,34410.0,-0.05,2.8,20.1,10.0,30.8,28.1,86.9,-0.255,5.9,35.0,437.0,43.8,12.4,-0.23,0.012,6785.0,291.0,,17283.0,9.0,65.2,9.0,-0.014,24.3,0.1,16.0,0.867,28.2,,,71.8,83354.0,0.45,162.0,2.1,83.5,387040.0,0.74,54.7,293796.0,Healey
Chelsea,40783.0,39567.0,32586.0,15493.0,2628.0,0.9701836549542702,0.7990093911678886,0.3798886791064904,0.0644386141284358,2.3,0.833,1.7,,21.3,18.6,38.4,110.5,6.3,452.1,21.2,0.285,0.9,129.0,9.0,2.3,23.6,56.9,1817.0,1.1,2702.0,49.1,6.18,167.0,11.1,3.1,14.1,2.6,1.3,67.5,32.9,2.92,29.3,10.4,3.6,14969.0,0.22,2.6,15.9,7.0,32.2,28.6,91.8,-0.029,5.7,61.4,198.0,28.3,7.3,-0.1,0.013,61.0,384.0,,13345.0,4.0,67.6,14.7,0.052,33.6,0.0,46.6,0.981,29.9,,,70.1,63751.0,0.5,282.0,0.6,185.2,14271.0,0.13,53.4,10524.0,Healey
Revere,62182.0,55567.0,47766.0,24075.0,4040.0,0.8936187321089705,0.7681644205718696,0.3871699205557878,0.0649705702614904,7.7,0.62,0.2,-0.207,15.3,14.6,68.4,49.8,9.4,351.3,20.1,0.185,0.6,74.4,16.0,7.1,10.0,53.6,1156.0,2.6,1855.0,51.0,6.91,128.0,9.5,2.7,25.3,1.5,,37.6,16.4,2.52,32.0,10.7,8.4,19195.0,0.25,1.9,13.7,11.0,38.2,35.5,59.1,-0.179,9.9,51.6,138.0,18.4,7.4,0.41,0.014,55.0,236.0,0.099,13277.0,8.0,84.6,17.1,0.102,39.2,0.2,34.5,0.946,8.3,3572.0,3646.0,91.7,74594.0,0.54,203.0,0.2,50.8,26298.0,0.12,47.8,20890.0,Healey
Winthrop,19312.0,16111.0,14413.0,8783.0,2023.0,0.834248135874068,0.7463235294117647,0.454794946147473,0.1047535211267605,15.4,0.541,7.4,-0.149,14.9,9.7,426.9,43.4,9.5,407.2,18.8,0.214,1.7,37.4,26.0,3.4,4.0,43.9,947.0,3.9,1847.0,51.7,6.3,116.0,22.9,6.9,38.8,2.9,3.7,59.6,8.1,2.24,34.4,12.9,9.0,28149.0,0.07,0.9,12.0,11.0,42.6,34.4,14.1,-0.17,13.1,24.4,126.0,18.2,6.8,-0.1,0.014,187.0,104.0,0.272,11569.0,12.0,92.9,25.2,-0.02,36.3,0.6,20.6,0.892,10.3,4564.0,4629.0,89.7,60257.0,0.43,252.0,0.6,21.8,11458.0,-0.02,40.7,10252.0,Healey
Ashburnham,6312.0,4936.0,4380.0,2535.0,592.0,0.7820025348542459,0.6939163498098859,0.401615969581749,0.0937896070975918,13.2,0.028,0.0,-0.179,6.6,9.2,634.8,29.5,9.8,416.0,,0.006,6.6,68.9,25.0,1.6,4.9,54.1,1097.0,5.1,2027.0,49.2,4.05,82.0,8.4,0.0,113.6,4.9,17.5,25.5,6.9,2.75,16.9,17.3,4.0,29006.0,-0.02,0.3,11.5,12.0,38.9,95.8,,0.205,39.6,36.3,139.0,22.9,6.8,1.34,0.003,2.0,97.0,0.115,,9.0,95.2,28.6,,34.0,100.0,4.8,0.944,13.4,3757.0,3864.0,86.6,,,403.0,0.0,16.2,4266.0,1.03,23.3,3827.0,Healey
Athol,11941.0,9920.0,8888.0,4783.0,1106.0,0.8307511933673897,0.7443262708315886,0.4005527175278452,0.0926220584540658,1.7,0.136,0.0,-0.24,3.5,11.4,226.2,76.6,10.8,418.1,,0.02,2.6,78.1,43.0,3.5,14.7,23.1,317.0,2.8,1341.0,50.8,11.07,148.0,22.0,8.6,105.9,2.6,21.4,48.2,6.3,2.46,28.4,17.0,7.7,17345.0,-0.04,2.8,19.9,9.0,38.2,64.8,,0.136,28.8,36.7,127.0,18.0,9.5,0.0,0.003,11.0,222.0,0.026,,5.0,86.9,21.7,,39.6,82.6,12.0,0.979,8.0,2161.0,2069.0,92.0,,,315.0,0.9,39.2,6661.0,0.15,21.4,5502.0,Healey
Auburn,16885.0,14294.0,13016.0,8098.0,1835.0,0.8465501924785312,0.770861711578324,0.4795972756884809,0.1086763399466982,13.0,0.12,1.9,-0.146,13.0,9.9,198.3,42.5,9.0,468.9,19.3,0.063,2.5,187.7,49.0,7.4,29.7,54.5,1352.0,5.4,2440.0,51.8,5.49,134.0,5.8,2.5,70.2,1.9,8.3,21.2,4.8,2.45,27.9,13.9,13.1,28712.0,0.01,1.0,16.7,13.0,44.1,63.6,11.5,0.012,20.4,35.0,209.0,27.6,8.6,0.83,0.003,15.0,361.0,0.211,12211.0,8.0,70.4,23.6,-0.01,48.1,41.2,16.1,0.937,6.1,3547.0,3653.0,93.9,61146.0,0.4,354.0,3.1,29.3,11784.0,0.31,28.7,10201.0,Healey
Barre,5526.0,4049.0,3698.0,2159.0,486.0,0.7327180600796236,0.6692001447701773,0.3906985161056822,0.0879478827361563,1.9,0.098,1.9,-0.197,7.4,8.3,264.9,64.6,10.8,413.3,,0.001,9.3,68.5,32.0,1.9,18.5,52.0,826.0,6.3,1527.0,49.5,2.1,32.0,7.9,0.0,156.2,3.7,19.2,34.8,4.6,2.61,24.1,16.8,10.0,22782.0,-0.04,0.7,40.8,11.0,42.9,87.7,,0.215,35.6,35.1,84.0,20.3,5.5,0.58,0.003,57.0,146.0,0.153,,5.0,87.2,31.3,,45.1,223.4,8.6,0.97,15.5,2725.0,2847.0,84.5,,,388.0,3.7,23.8,3518.0,0.46,24.4,3157.0,Diehl
